theta_e,psf_fwhm,depth_5sig,threshold,threshold_type,fpr_target,source_mag_bin,n_injections,n_detected,n_failed,completeness,ci68_lo,ci68_hi,ci95_lo,ci95_hi,mean_score,mean_arc_snr,sufficient
0.5,0.9,24.5,0.3,fixed,,23-24,157,0,0,0.0,0.00012959708553992964,0.006257673995410315,3.1226274796481016e-06,0.015847236893062586,0.009865204346397155,4.806556804924254,True
0.5,0.9,24.5,0.3,fixed,,24-25,162,4,0,0.024691358024691357,0.015278320035747386,0.03992639636426061,0.008390481814521018,0.05763110239306673,0.017714187278061098,1.866025474704342,True
0.5,0.9,24.5,0.3,fixed,,25-26,181,11,0,0.06077348066298342,0.04545555486296867,0.0808984125334115,0.03271489536813654,0.10270597869050302,0.024455455758223613,0.7543019640840878,True
0.5,0.9,24.5,0.3,fixed,,lensed_18-20,0,0,0,,,,,,,,False
0.5,0.9,24.5,0.3,fixed,,lensed_20-22,112,0,0,0.0,0.00018154643361692938,0.008755291215473127,4.374452261614585e-06,0.02212943443348546,0.007683883870625505,5.392235977309091,True
0.5,0.9,24.5,0.3,fixed,,lensed_22-24,332,11,0,0.03313253012048193,0.024706881959743413,0.04434827784139959,0.017728392305577073,0.056606397361316556,0.01924721290188562,1.688470503292888,True
0.5,0.9,24.5,0.3,fixed,,lensed_24-27,56,4,0,0.07142857142857142,0.0444757282879312,0.11345367403264964,0.024589466085258856,0.1609253505826068,0.028469700655940042,0.5169922182602542,True
0.5,0.9,24.5,0.5,fixed,,all,500,0,0,0.0,4.0739771573051846e-05,0.0019712935049890257,9.815777236487957e-07,0.0050087878001096745,0.01768994582733745,2.3869084015488626,True
0.5,0.9,24.5,0.5,fixed,,23-24,157,0,0,0.0,0.00012959708553992964,0.006257673995410315,3.1226274796481016e-06,0.015847236893062586,0.009865204346397155,4.806556804924254,True
0.5,0.9,24.5,0.5,fixed,,24-25,162,0,0,0.0,0.00012560359926985177,0.006065420305510952,3.0263989674560753e-06,0.0153626523172214,0.017714187278061098,1.866025474704342,True
0.5,0.9,24.5,0.5,fixed,,25-26,181,0,0,0.0,0.00011243764426130225,0.005431329053964062,2.709149937646803e-06,0.01376336783436771,0.024455455758223613,0.7543019640840878,True
0.5,0.9,24.5,0.5,fixed,,lensed_18-20,0,0,0,,,,,,,,False
0.5,0.9,24.5,0.5,fixed,,lensed_20-22,112,0,0,0.0,0.00018154643361692938,0.008755291215473127,4.374452261614585e-06,0.02212943443348546,0.007683883870625505,5.392235977309091,True
0.5,0.9,24.5,0.5,fixed,,lensed_22-24,332,0,0,0.0,6.13389241454882e-05,0.00296658443955984,1.4779053624846158e-06,0.007531886962189082,0.01924721290188562,1.688470503292888,True
0.5,0.9,24.5,0.5,fixed,,lensed_24-27,56,0,0,0.0,0.00036225053937779394,0.017395312737067004,8.729378921674678e-06,0.04367320309540489,0.028469700655940042,0.5169922182602542,True
0.5,0.9,24.5,0.7,fixed,,all,500,0,0,0.0,4.0739771573051846e-05,0.0019712935049890257,9.815777236487957e-07,0.0050087878001096745,0.01768994582733745,2.3869084015488626,True
0.5,0.9,24.5,0.7,fixed,,23-24,157,0,0,0.0,0.00012959708553992964,0.006257673995410315,3.1226274796481016e-06,0.015847236893062586,0.009865204346397155,4.806556804924254,True
0.5,0.9,24.5,0.7,fixed,,24-25,162,0,0,0.0,0.00012560359926985177,0.006065420305510952,3.0263989674560753e-06,0.0153626523172214,0.017714187278061098,1.866025474704342,True
0.5,0.9,24.5,0.7,fixed,,25-26,181,0,0,0.0,0.00011243764426130225,0.005431329053964062,2.709149937646803e-06,0.01376336783436771,0.024455455758223613,0.7543019640840878,True
0.5,0.9,24.5,0.7,fixed,,lensed_18-20,0,0,0,,,,,,,,False
0.5,0.9,24.5,0.7,fixed,,lensed_20-22,112,0,0,0.0,0.00018154643361692938,0.008755291215473127,4.374452261614585e-06,0.02212943443348546,0.007683883870625505,5.392235977309091,True
