theta_e,psf_fwhm,depth_5sig,threshold,threshold_type,fpr_target,source_mag_bin,n_injections,n_detected,n_failed,completeness,ci68_lo,ci68_hi,ci95_lo,ci95_hi,mean_score,mean_arc_snr,sufficient
0.5,0.9,24.0,0.7,fixed,,lensed_22-24,325,0,0,0.0,6.26590125768714e-05,0.0030303340948626112,1.5097126604968478e-06,0.00769336213711455,2.763471341051289e-05,1.1074122974047294,True
0.5,0.9,24.0,0.7,fixed,,lensed_24-27,54,0,0,0.0,0.0003756026073342951,0.018030776585862295,9.05119117203745e-06,0.045246210378820526,2.9239923938732487e-05,0.3067113552932386,True
0.5,0.9,24.0,0.8058655117092153,FPR=1.0e-03,0.001,all,500,0,0,0.0,4.0739771573051846e-05,0.0019712935049890257,9.815777236487957e-07,0.0050087878001096745,2.8063562290043756e-05,1.522577432245016,True
0.5,0.9,24.0,0.8058655117092153,FPR=1.0e-03,0.001,23-24,170,0,0,0.0,0.0001197018876596781,0.005781234431976999,2.8841898437279786e-06,0.01464608285204859,2.7845888624404416e-05,2.865122371561387,True
0.5,0.9,24.0,0.8058655117092153,FPR=1.0e-03,0.001,24-25,168,0,0,0.0,0.00012112470337032898,0.005849754743158055,2.9184742930896795e-06,0.014818884532030443,2.853507030036131e-05,1.186302817293576,True
0.5,0.9,24.0,0.8058655117092153,FPR=1.0e-03,0.001,25-26,162,0,0,0.0,0.00012560359926985177,0.006065420305510952,3.0263989674560753e-06,0.0153626523172214,2.780301400254585e-05,0.4624632077268612,True
0.5,0.9,24.0,0.8058655117092153,FPR=1.0e-03,0.001,lensed_18-20,0,0,0,,,,,,,,False
0.5,0.9,24.0,0.8058655117092153,FPR=1.0e-03,0.001,lensed_20-22,121,0,0,0.0,0.00016807201494000327,0.008108060732869219,4.04975274408481e-06,0.02050381716862344,2.8690441272013492e-05,3.180308316364761,True
0.5,0.9,24.0,0.8058655117092153,FPR=1.0e-03,0.001,lensed_22-24,325,0,0,0.0,6.26590125768714e-05,0.0030303340948626112,1.5097126604968478e-06,0.00769336213711455,2.763471341051289e-05,1.1074122974047294,True
0.5,0.9,24.0,0.8058655117092153,FPR=1.0e-03,0.001,lensed_24-27,54,0,0,0.0,0.0003756026073342951,0.018030776585862295,9.05119117203745e-06,0.045246210378820526,2.9239923938732487e-05,0.3067113552932386,True
0.5,0.9,24.0,0.9950980914444324,FPR=1.0e-04,0.0001,all,500,0,0,0.0,4.0739771573051846e-05,0.0019712935049890257,9.815777236487957e-07,0.0050087878001096745,2.8063562290043756e-05,1.522577432245016,True
0.5,0.9,24.0,0.9950980914444324,FPR=1.0e-04,0.0001,23-24,170,0,0,0.0,0.0001197018876596781,0.005781234431976999,2.8841898437279786e-06,0.01464608285204859,2.7845888624404416e-05,2.865122371561387,True
0.5,0.9,24.0,0.9950980914444324,FPR=1.0e-04,0.0001,24-25,168,0,0,0.0,0.00012112470337032898,0.005849754743158055,2.9184742930896795e-06,0.014818884532030443,2.853507030036131e-05,1.186302817293576,True
0.5,0.9,24.0,0.9950980914444324,FPR=1.0e-04,0.0001,25-26,162,0,0,0.0,0.00012560359926985177,0.006065420305510952,3.0263989674560753e-06,0.0153626523172214,2.780301400254585e-05,0.4624632077268612,True
0.5,0.9,24.0,0.9950980914444324,FPR=1.0e-04,0.0001,lensed_18-20,0,0,0,,,,,,,,False
0.5,0.9,24.0,0.9950980914444324,FPR=1.0e-04,0.0001,lensed_20-22,121,0,0,0.0,0.00016807201494000327,0.008108060732869219,4.04975274408481e-06,0.02050381716862344,2.8690441272013492e-05,3.180308316364761,True
0.5,0.9,24.0,0.9950980914444324,FPR=1.0e-04,0.0001,lensed_22-24,325,0,0,0.0,6.26590125768714e-05,0.0030303340948626112,1.5097126604968478e-06,0.00769336213711455,2.763471341051289e-05,1.1074122974047294,True
0.5,0.9,24.0,0.9950980914444324,FPR=1.0e-04,0.0001,lensed_24-27,54,0,0,0.0,0.0003756026073342951,0.018030776585862295,9.05119117203745e-06,0.045246210378820526,2.9239923938732487e-05,0.3067113552932386,True
0.5,0.9,24.5,0.3,fixed,,all,500,27,0,0.054,0.044816938382612075,0.06495263797437226,0.03670642399365299,0.0764328512689251,0.022655942125824478,2.37103430968523,True
0.5,0.9,24.5,0.3,fixed,,23-24,157,5,0,0.03184713375796178,0.02069945949647703,0.04890722644621078,0.01225386449679134,0.06838324197772958,0.016485288222486388,4.726502208193397,True
0.5,0.9,24.5,0.3,fixed,,24-25,162,10,0,0.06172839506172839,0.04553307306518394,0.08328129742967236,0.032175715898176305,0.106727200671566,0.024087303882111392,1.8872901208606767,True
0.5,0.9,24.5,0.3,fixed,,25-26,181,12,0,0.06629834254143646,0.050228054300101806,0.08711465932997627,0.03675083540694849,0.10955002182044257,0.02672727946452945,0.7608580584354823,True
0.5,0.9,24.5,0.3,fixed,,lensed_18-20,0,0,0,,,,,,,,False
0.5,0.9,24.5,0.3,fixed,,lensed_20-22,114,4,0,0.03508771929824561,0.02174113897040059,0.056513143175146614,0.011957350682536175,0.08125682570393604,0.01686548798072179,5.266969753984819,True
0.5,0.9,24.5,0.3,fixed,,lensed_22-24,329,20,0,0.060790273556231005,0.04898838003449654,0.07523929449449318,0.03873099147136493,0.09052464003426353,0.024696782147295378,1.6925790281371866,True
0.5,0.9,24.5,0.3,fixed,,lensed_24-27,57,3,0,0.05263157894736842,0.030515052944219734,0.09022374005954731,0.01504418164513897,0.13382859637692812,0.02245726502894342,0.49515969528440845,True
0.5,0.9,24.5,0.5,fixed,,all,500,0,0,0.0,4.0739771573051846e-05,0.0019712935049890257,9.815777236487957e-07,0.0050087878001096745,0.022655942125824478,2.37103430968523,True
0.5,0.9,24.5,0.5,fixed,,23-24,157,0,0,0.0,0.00012959708553992964,0.006257673995410315,3.1226274796481016e-06,0.015847236893062586,0.016485288222486388,4.726502208193397,True
0.5,0.9,24.5,0.5,fixed,,24-25,162,0,0,0.0,0.00012560359926985177,0.006065420305510952,3.0263989674560753e-06,0.0153626523172214,0.024087303882111392,1.8872901208606767,True
0.5,0.9,24.5,0.5,fixed,,25-26,181,0,0,0.0,0.00011243764426130225,0.005431329053964062,2.709149937646803e-06,0.01376336783436771,0.02672727946452945,0.7608580584354823,True
0.5,0.9,24.5,0.5,fixed,,lensed_18-20,0,0,0,,,,,,,,False
0.5,0.9,24.5,0.5,fixed,,lensed_20-22,114,0,0,0.0,0.0001783686768954126,0.008602688109169122,4.297875951370511e-06,0.021746296474035143,0.01686548798072179,5.266969753984819,True
0.5,0.9,24.5,0.5,fixed,,lensed_22-24,329,0,0,0.0,6.18978033259205e-05,0.002993574297034128,1.4913714527983633e-06,0.007600253074816362,0.024696782147295378,1.6925790281371866,True
0.5,0.9,24.5,0.5,fixed,,lensed_24-27,57,0,0,0.0,0.00035592426858552657,0.017094086150050952,8.576904275256304e-06,0.042927005803756225,0.02245726502894342,0.49515969528440845,True
0.5,0.9,24.5,0.7,fixed,,all,500,0,0,0.0,4.0739771573051846e-05,0.0019712935049890257,9.815777236487957e-07,0.0050087878001096745,0.022655942125824478,2.37103430968523,True
0.5,0.9,24.5,0.7,fixed,,23-24,157,0,0,0.0,0.00012959708553992964,0.006257673995410315,3.1226274796481016e-06,0.015847236893062586,0.016485288222486388,4.726502208193397,True
0.5,0.9,24.5,0.7,fixed,,24-25,162,0,0,0.0,0.00012560359926985177,0.006065420305510952,3.0263989674560753e-06,0.0153626523172214,0.024087303882111392,1.8872901208606767,True
0.5,0.9,24.5,0.7,fixed,,25-26,181,0,0,0.0,0.00011243764426130225,0.005431329053964062,2.709149937646803e-06,0.01376336783436771,0.02672727946452945,0.7608580584354823,True
0.5,0.9,24.5,0.7,fixed,,lensed_18-20,0,0,0,,,,,,,,False
0.5,0.9,24.5,0.7,fixed,,lensed_20-22,114,0,0,0.0,0.0001783686768954126,0.008602688109169122,4.297875951370511e-06,0.021746296474035143,0.01686548798072179,5.266969753984819,True
0.5,0.9,24.5,0.7,fixed,,lensed_22-24,329,0,0,0.0,6.18978033259205e-05,0.002993574297034128,1.4913714527983633e-06,0.007600253074816362,0.024696782147295378,1.6925790281371866,True
0.5,0.9,24.5,0.7,fixed,,lensed_24-27,57,0,0,0.0,0.00035592426858552657,0.017094086150050952,8.576904275256304e-06,0.042927005803756225,0.02245726502894342,0.49515969528440845,True
0.5,0.9,24.5,0.8058655117092153,FPR=1.0e-03,0.001,all,500,0,0,0.0,4.0739771573051846e-05,0.0019712935049890257,9.815777236487957e-07,0.0050087878001096745,0.022655942125824478,2.37103430968523,True
0.5,0.9,24.5,0.8058655117092153,FPR=1.0e-03,0.001,23-24,157,0,0,0.0,0.00012959708553992964,0.006257673995410315,3.1226274796481016e-06,0.015847236893062586,0.016485288222486388,4.726502208193397,True
0.5,0.9,24.5,0.8058655117092153,FPR=1.0e-03,0.001,24-25,162,0,0,0.0,0.00012560359926985177,0.006065420305510952,3.0263989674560753e-06,0.0153626523172214,0.024087303882111392,1.8872901208606767,True
0.5,0.9,24.5,0.8058655117092153,FPR=1.0e-03,0.001,25-26,181,0,0,0.0,0.00011243764426130225,0.005431329053964062,2.709149937646803e-06,0.01376336783436771,0.02672727946452945,0.7608580584354823,True
